,name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating,HL_Calories
37,Honey-comb,P,C,110,1,0,180,0.0,14.0,11.0,35.0,25,1,1.0,1.33,28.742414,HIGH
38,Just_Right_Crunchy__Nuggets,K,C,110,2,1,170,1.0,17.0,6.0,60.0,100,3,1.0,1.0,36.523683,HIGH
39,Just_Right_Fruit_&_Nut,K,C,140,3,1,170,2.0,20.0,9.0,95.0,100,3,1.3,0.75,36.471512,HIGH
40,Kix,G,C,110,2,1,260,0.0,21.0,3.0,40.0,25,2,1.0,1.5,39.241114,HIGH
42,Lucky_Charms,G,C,110,2,1,180,0.0,12.0,12.0,55.0,25,2,1.0,1.0,26.734515,HIGH
44,"Muesli_Raisins,_Dates,_&_Almonds",R,C,150,4,3,95,3.0,16.0,11.0,170.0,25,3,1.0,1.0,37.136863,HIGH
45,"Muesli_Raisins,_Peaches,_&_Pecans",R,C,150,4,3,150,3.0,16.0,11.0,170.0,25,3,1.0,1.0,34.139765,HIGH
46,Mueslix_Crispy_Blend,K,C,160,3,2,150,3.0,17.0,13.0,160.0,25,3,1.5,0.67,30.313351,HIGH
48,Nut&Honey_Crunch,K,C,120,2,1,190,0.0,15.0,9.0,40.0,25,2,1.0,0.67,29.924285,HIGH
49,Nutri-Grain_Almond-Raisin,K,C,140,3,2,220,3.0,21.0,7.0,130.0,25,3,1.33,0.67,40.69232,HIGH
51,Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,13.5,10.0,120.0,25,3,1.25,0.5,30.450843,HIGH
52,Post_Nat._Raisin_Bran,P,C,120,3,1,200,6.0,11.0,14.0,260.0,25,3,1.33,0.67,37.840594,HIGH
58,Raisin_Bran,K,C,120,3,1,210,5.0,14.0,12.0,240.0,25,2,1.33,0.75,39.259197,HIGH
61,Rice_Chex,R,C,110,1,0,240,0.0,23.0,2.0,30.0,25,1,1.0,1.13,41.998933,HIGH
62,Rice_Krispies,K,C,110,2,0,290,0.0,22.0,3.0,35.0,25,1,1.0,1.0,40.560159,HIGH
66,Smacks,K,C,110,2,1,70,1.0,9.0,15.0,40.0,25,2,1.0,0.75,31.230054,HIGH
67,Special_K,K,C,110,6,0,230,1.0,16.0,3.0,55.0,25,1,1.0,1.0,53.131324,HIGH
69,Total_Corn_Flakes,G,C,110,2,1,200,0.0,21.0,3.0,35.0,100,3,1.0,1.0,38.839746,HIGH
70,Total_Raisin_Bran,G,C,140,3,1,190,4.0,15.0,14.0,230.0,100,3,1.5,1.0,28.592785,HIGH
72,Triples,G,C,110,2,1,250,0.0,21.0,3.0,60.0,25,3,1.0,0.75,39.106174,HIGH
73,Trix,G,C,110,1,1,140,0.0,13.0,12.0,25.0,25,2,1.0,1.0,27.753301,HIGH
76,Wheaties_Honey_Gold,G,C,110,2,1,200,1.0,16.0,8.0,60.0,25,1,1.0,0.75,36.187559,HIGH
